owner,address,type,access,default,range,unit,kind,rate_cap,anticipatable,panic,persist,refers,description
document,warnings,s,r,,,,state,5,no,park,none,,"Everything wrong with the open show that did not stop it opening, one per line: the references that point at nothing, and the slot overlaps the edit-time analysis found. NEWLINE-SEPARATED and not space-separated, which no other list-shaped readout here is, because a warning is a sentence and sentences contain spaces. A refusal is not in it - a document that fails validate is never handed to the engine, so by the time anything can read this there are none."
document,locked,T,rw,false,,,state,5,no,park,state,,"Show mode, and a lock on the show rather than a mode in a client. While it is true the engine refuses every change to what show.xml would record - a create, a delete, a move, or a write to any value that persists in the show - with the reason locked, whichever client sent it, because a lock that only one client honoured would lock exactly one of them - and the accident it exists for is the one PRD 3.17 names, a forearm on a screen in the dark. It locks nothing of where the operator is standing. GO, the standby, the focus, every run, load-to-time, a save and a write to a mounted device all keep working, and so does the write that sets this false again. Kept in state.xml beside the standby and the focus rather than in show.xml, because like them it belongs to the performance in progress and not to the show - and so an engine restarted in the middle of a performance comes back locked."
document,canUndo,T,r,false,,,state,5,no,park,none,,"Whether the document's undo history has a transaction to unmake. A client greys its Undo item from this one node and never has to send a command to find out. It is a reading of a stack that starts empty at every open, so it persists nowhere: an engine restarted mid-performance comes back with nothing to undo, which is honest - the actions are gone with the process that held them."
document,canRedo,T,r,false,,,state,5,no,park,none,,"Whether the document has a transaction to put back. False until something has been undone, and false again the moment any edit lands, because an edit made after an undo discards the forward half - which is how every editor behaves and is the half people are surprised by."
document,undoName,s,r,,,,state,5,no,park,none,,"The name of the transaction Undo would unmake, which is the command that made it: node.set, cue.create, object.delete. Published so that a menu item can read Undo object.delete rather than Undo, with no lookup table in the client - PRD 4.11 already makes every gesture-reachable action carry a name, and this is that name handed back. Empty when there is nothing to undo. It never carries a time: the engine's own notion of when is the tick index, and a wall clock in a published node would be a value a replay could not reproduce."
document,redoName,s,r,,,,state,5,no,park,none,,"The same for Redo: the name of the transaction Redo would put back, and empty when nothing has been undone."
document,undoHistory,s,r,,,,state,5,no,park,none,,"The whole of what Undo would unmake, newest first, space-separated: the name of each transaction on the document's history, which is the command that made it. Published beside undoName (2026-09-19) so a client can draw the history as a place to stand in - the author's undo panel, where a pointer dragged over the transactions shows what standing there would change - without a command to ask for it. Moving there is that many undo or redo records, each a transaction the log replays."
document,redoHistory,s,r,,,,state,5,no,park,none,,"The same for Redo: what it would put back, nearest first, and empty when nothing has been undone."
document,clipboard,s,r,,,,state,1,no,park,none,,"What `document.copy` last copied: the chosen cues as one canonical <Fragment>, the text `document.paste` takes. A window puts it on the operating system's clipboard when it changes, which is how two shows in two windows hand cues to each other; the page pastes it straight back. Empty until something is copied."
document,recovery,T,r,false,,,state,1,no,park,none,,"Whether an earlier session left unsaved work in this bundle that nobody has answered yet. The engine autosaves the show to recovery/ two seconds after an edit and every thirty seconds through a long one, never to show.xml - a designer who decides an afternoon was wrong must be able to throw it away by not saving. This is true when the bundle opened with a recovery/show.xml - the last session died - or, failing that, with a recovery.previous.N/ an earlier session moved aside and nobody answered, the highest N first; and it stays true until document.recover adopts that recovery or document.discardRecovery deletes it, wherever it then lives. This session's own autosave keeps running meanwhile: the first time it needs recovery/ while the offer still sits there, it renames the offer to the next recovery.previous.N/ and writes its own, so neither afternoon is lost. Nothing but a discard deletes an unanswered recovery.previous.N/, so one nobody answers is offered again at the next open; one that was recovered is deleted once the recovered work has been autosaved or saved. It is NOT a look at the disk: this session's own autosave writes recovery/ within seconds of any edit, so a node that asked the filesystem would offer every unsaved show back to the person still writing it. What it reports is somebody else's unfinished afternoon, and only the operator may decide whether it was worth keeping - the engine is headless and has nobody to ask. It changes at most twice in a session, which is why the cap is 1 and not the 5 of its livelier neighbours."
document,writeError,s,r,,,,state,5,no,park,none,,"Why the last write the engine handed to its writer thread did not land, in the writer's own sentence - which command, at which tick, which file and what became of it - and empty when nothing is outstanding. Saves, autosaves, copies and discards of a recovery are written off the tick thread so that GO never waits for a disk, which means a write that fails can no longer refuse the command that asked for it: the command was applied, and its record means taken and handed to the writer. What a failure does instead is leave dirty lit, because the show on disk is still behind - the truthful signal - and say why here. NOT lastError, which quotes a refused record by tick and sequence: this failure has no such record, and counting it there would make errorCount disagree with the log. It goes out when a later write of the same command lands, or when a save lands over an autosave's failure; an autosave landing says nothing about a save that did not."
document,recording,T,r,false,,,state,5,no,park,none,,"Whether the live recorder is on (author, 2026-09-18: a Live recorder that records all the cue starts, to store timings triggered once by hand and then automated). record.start turns it on; from then every applied go, cue.fire and trigger.fire on any list is kept with its tick; record.stop writes them into a take - a timeline group of start cues in a list named Live recorder, each at the second it was fired - and turns it off. What it keeps is the list-s own step history, unbounded while it records: the author-s reframing that a live recorder dumps the load-to-time history to a group for replay."
lists,order,s,r,,,,state,50,no,park,none,,"The identifiers of the show's cue lists, in order, space-separated. The roster of what can be run at once: PRD 3.5 has several lists live together, each with a standby of its own, so that a timecode- or OSC-triggered chain can never move the operator's position."
lists,focus,s,rw,,,,state,50,no,park,state,list,"Which list GO acts on. Exactly one, and exclusive by construction rather than by upkeep - it is one value, so there is no flag anywhere to leave set. A list that has gone takes the focus with it and the first remaining list has it instead, which is why nothing has to remember to move this when a list is deleted. It is remembered across a save for the same reason the standby is: a rehearsal reopened where it was left is the kinder default, and losing state.xml costs only where somebody had got to."
list,name,s,rw,,,,state,50,no,park,show,,The cue list's name.
list,order,s,r,,,,state,50,no,park,none,,"The identifiers of the list's top-level children, in order, space-separated."
list,persistentOrder,s,r,,,,state,50,no,park,none,,"The identifiers of the cues in this list's persistent section, in order, space-separated. PRD 3.29: a persistent cue is the thing that should be running at all times and is relaunched if it is not, in a section of its own - not the header, because a header fires once and never resets while a persistent cue re-asserts. The cursor skips the section as it skips a footer, standby.set refuses its cues, and they are not GO targets; after every applied go, cue.fire or trigger.fire the engine checks each one against what it declares and relaunches or re-sends through run.assert. Kinds honoured: media, osc and midi; a fade, a stop or a group in the section is a validate warning and is ignored. Empty when the list has no section."
list,persistent,s,r,,,,state,50,no,park,none,,"The identifier of this list's persistent section, or empty when it has none - what cue.create takes as a parent to put a cue in it. Made by list.persistent, which answers with the one that exists."
list,persistentFolded,T,rw,false,,,state,50,no,park,state,,"Whether the list's persistent section is drawn shut. Recorded with the show (author, 2026-09-18: 'fold state should be recorded in project file') as state, since how a list is read is not a decision about what it plays: it lands in state.xml beside the standby and does not mark the show unsaved."
list,standby,s,rw,,,,state,50,no,park,state,cue,"The cue GO will act on. One per list, and always one of that list's own top-level children or empty; moved only by a standby command, a write to this node, or the repair when the cue it names is deleted or moved away. Never by selection or scrolling."
list,finished,T,rw,false,,,state,50,no,park,state,,"Whether this list's pointer is empty because the list RAN OUT rather than because nobody has armed it. The two look identical - one empty string - and they are opposite facts about the show: a list nobody has parked on has had nothing happen to it, and a list whose last cue has been fired has had everything happen to it. Nothing needed to tell them apart until GO began clearing the pointer at the end (PRD 3.5, amended 2026-09-18); the persistent solver had been reading an empty pointer as the top of the list, so without this a show run through to its end would re-assert every persistent bed a Stop had suspended - the beds coming back on after the last cue. It goes true when a GO fires the last cue there is, false the moment anybody parks the pointer anywhere, and it is kept in state.xml beside the standby because it is the same fact about the same performance in progress. It is WRITABLE for the same reason the standby beside it is - the document's own door refuses a read-only attribute, and this is a fact about the pointer rather than a reading taken off one - but no client needs to touch it: standby.set clears it, and firing the last cue is what sets it."
list,aim,s,rw,,,,state,50,no,park,none,,"Where an operator is pointing when they ask what the show WOULD be: a cue identifier and an offset in seconds, space-separated. PRD 3.13-s state position, and it is a cue and an offset rather than a wall time because a manual list has no time in it - between two GOs there is however long the actor took, so -the state at 04:12- is a question the document cannot answer. An offset of -1 means BEFORE that cue has fired: standby on it and nothing of it done, which is what -take it back to cue 12- means and is a different position from nought seconds in. Written through list.aim; read by a client dragging a finger along the list."
list,solve,s,r,,,,state,5,no,park,none,,"What the show would be at the aim, as JSON: the standby to set, the runs that should be sounding and how far into each, the values the desk should be holding and which cue last wrote each, the trims a fade left behind, and the CONFUSED list. One node holding a document rather than a subtree of nodes appearing and vanishing under a dragged finger - a solve changes shape as the aim moves, and a namespace that grew and shrank at fifty hertz would be one no client could subscribe to. The confused list is the feature rather than the apology (PRD 3.24): every place the walk could not know, with the default it took. Since 2026-09-19 it also says HOW it was read - history, when the aimed cue has a step and every cue fired before the instant is placed by the clock the steps kept, or order, the reading from the list alone - and the instant, the wall tick the plan describes, or -1 for the order."
list,statePosition,s,r,,,,state,50,no,park,none,,"Where the last load-to-time actually landed, in the same spelling as aim - PRD 3.13-s second pointer. After a jump the two agree; after a manual tweak they do not, and that divergence is exactly what a running view has to show, because it is the difference between where the operator asked to be and where the show has got to since."
list,history,s,r,,,,state,50,no,park,none,,"The last sixty-four steps this list took, newest first, space-separated, each as tick:cue:origin - when, what, and whether it was a GO (g), a cue fired by name (f) or a trigger (t). PRD 3.13 keeps manual waypoints as a way to force a divergent world back into agreement, and the author-s decision (R) is that the operator should not have to keep any: this is the history the engine keeps for them, and each step is a load-to-time target - before cue 12 is that cue at -1. Appended by the HANDLER of every applied go, cue.fire and trigger.fire, which is what makes it model state a replay reproduces rather than something a hook noticed; never stored, because a history is what the machine happened to be doing (PRD 4.10) and a show reopened tomorrow starts a new one. A load to time RETIMES it (2026-09-19): the steps before the instant move to the clock the rebuilt runs are on, and the steps after it, which the jump undid, go - so what is published is what is in force, and a later aim reads right."
cue,kind,s,r,memo,memo|group|media|fade|transport|osc|midi|start,,state,50,no,park,none,,"What kind of cue this is, derived from the element rather than stored: a Group is a group and a Media is media. Deriving it is what stops a client turning one kind into another by writing a word, and what lets the grammar refuse a file attribute on a cue that plays nothing."
cue,number,s,rw,,,,state,50,no,park,show,,"The decimal cue number. A string, because 12.5.1 is one; mutable, renumbered during tech, and never an identity."
cue,name,s,rw,,,,state,50,no,park,show,,"The cue's name, as the operator reads it."
cue,shortName,s,rw,,,,state,50,no,park,show,,"The cue's name for a seven-character display, written by somebody rather than cut by the machine (PRD 3.16: authored short names, never auto-truncation). Empty, a strip display cuts the name to its width and says nothing about it."
cue,notes,s,rw,,,,state,50,no,park,show,,Free text for the designer.
cue,enabled,T,rw,true,,,state,50,no,park,show,,"Whether the cue runs at all. A disabled cue is skipped, not deleted."
cue,colour,s,rw,,,,state,50,no,park,show,,A #RRGGBB decoration. Never the sole carrier of information.
cue,preWait,d,rw,0,0..,s,state,50,no,park,show,,"How long after entry before this cue starts. A group has one of its own, and it runs before its members begin their own pre-waits, so raising it defers the whole group."
cue,postWait,d,rw,0,0..,s,state,50,no,park,show,,"How long after completion before this cue reports done to its parent. A group is complete once every member is, its members' own post-waits included; the group's post-wait then runs on top of that."
cue,parent,s,r,,,,state,50,no,park,none,,The identifier of the containing list or group.
cue,index,i,r,0,,,state,50,no,park,none,,"Position among siblings, zero-based."
cue,role,s,r,member,member|header|footer|persistent,,state,50,no,park,none,,"Where this cue sits in the thing that contains it: an ordinary member, one of the cues in its group's header or footer, or one of the list's persistent cues. Derived from the element that contains it rather than stored, like `kind` and for the same reason - a client that could write it could move a cue between a group's preparation and its members without the group knowing. A cue at the top level of a list is a member. The whole vocabulary is declared here although `persistent` cannot occur until the section exists, because an enum that grows later grows under a client that has already read it."
cue,prepare,s,r,idle,idle|preparing|pending|partial|armed|verified,,state,50,no,park,none,,"How far ahead this cue has been got ready, derived from its prepared run. PRD 3.12: preparation is per PARAMETER rather than per cue, so a block that is partly anticipatable says so rather than pretending. Idle is the resting state and means nothing has been prepared, which is not a failure - a MIDI cue can never be prepared and reads idle for ever. Preparing is in progress; pending is waiting for a slot somebody else holds (3.9e, in words rather than colour); partial means something in the block could not be anticipated and will happen at entry; armed means everything that could be prepared was, with nothing to verify; verified means every pre-sent value was read back equal, which is the only one of the six that says the desk agrees."
cue,preset,s,rw,,,,state,50,no,park,show,cue,"The ancestor group whose header prepares this cue, or empty for the ordinary case - prepared with its own group, as everything is. THE MARK IS THE DECISION AND THE HEADER LINE IS A READING OF IT (PRD 4.10): nothing is copied into the Header element, so editing the line is editing the member, deleting the member removes the line with no repair rule to write, and the two can never come to disagree because there is only one of them. It names an ANCESTOR rather than being a tickbox, because a cue three groups deep can be got ready by its own group, by the act, or by the opening scene, and which one is a decision about how early. A value naming a group that is not an ancestor is a validate warning and is ignored - not a refusal, because the repair is somebody dragging it somewhere sensible and yesterday-s show must still open."
media,file,s,rw,,,,state,50,no,park,show,,"The media to play, as a path relative to the bundle's media/ folder. Relative because a show travels between machines and an absolute path is a fact about the machine it was authored on. A file that is missing is reported when the show loads and fails the cue when it is armed - it never fails the load, because a show with one missing sound is still a show somebody has to run tonight."
media,level,d,rw,0,-120..12,dB,state,50,no,park,show,,"The level the cue plays at, as decided. Not what it is doing: a fade writes run/<id>/level and leaves this alone, so the document keeps saying what somebody chose while the run says what is happening. -120 dB is silence rather than a very small number."
media,startOffset,d,rw,0,0..,s,state,50,no,park,show,,How far into the file playback begins. A cue that starts at the downbeat rather than at the top of the recording.
media,channels,i,rw,0,0..512,,state,50,no,park,show,,"How many channels the file has, decided when it was imported and written into the cue rather than read off the disk whenever it is wanted. The file travels between machines and may be absent tonight, and the routing below is shaped by this number - a cue whose count nobody knows cannot be pointed at an output without guessing what a guess would cost. Nought means nobody has said, which is every show written before the number existed."
media,stereoToMono,T,rw,false,,,state,50,no,park,show,,"Fold a two-channel file to one before it is routed, each side at half, so a stereo recording can play out of a mono direct out. Ignored unless channels is 2: a fold is a statement about a stereo file, and applying it to a mono or a six-channel one would mean inventing a rule nobody asked for. PRD 3.18 leaves stereo-to-mono out of the RACK classes deliberately; this is the cue output stage, where the coefficients are the cue-s own and a fold costs nothing."
media,directOut,s,rw,,,,state,50,no,park,show,bus,"The direct out this cue-s channels land on, by identifier; empty routes it nowhere by this road and is what every cue starts as. A mono cue feeds every channel of a stereo out; a cue wider than its out fails the run as bad-route rather than being quietly folded, unless stereoToMono says to fold it. Chosen among the outputs whose kind is direct - a mix channel is reached through a Send, at a level, which is the whole difference between the two."
media,sharedOut,T,rw,false,,,state,50,no,park,show,,"This cue is MEANT to share its direct out with another. PRD 3.9c-s -allow marking deliberate sharing-, as feed/shared already gives a processor slot: the live-range analysis is conservative by design and reports overlaps it cannot prove impossible, so this is how a designer says of one pair that they considered it. It silences that pair-s warning and NOTHING ELSE - the menu still marks the out as taken, because which outs carry sound is a fact and the warning is a complaint, and only a complaint can be answered."
media,dca,s,rw,,,,state,50,no,park,show,dca,"The DCA this cue is assigned to, by identifier, or empty. A mark on the member and never a list on the DCA (PRD 3.28), so assigning eight cues is a multi-select edit and nothing flows downward (4.12). Adds that DCA's trim, and the trim of every DCA it sits inside, to the level of every run of this cue - level only, one to one in dB; a mapping per assignment comes later."
media,strip,s,rw,,,,state,50,no,park,show,strip,"sampler member: the strip this clip is played from, by identifier - a fader or a pad (author, 2026-09-25: 'I need to specify which track goes where'). Empty is automatic: the next sampler strip nobody in the group has named, in member order, which is how every member was placed before. Two members naming one strip: the first in member order has it and the other is placed automatically. A strip that is not a sampler strip of this layout - deleted, or made a DCA strip - is no pin at all, and the member is placed automatically rather than left silent."
media,stripNow,s,r,,,,state,50,no,park,none,,"sampler member: the strip it is played from under the rule strip describes - its own, or the one automatic placement gives it - and empty when the layout has none left. Derived, so the menu says the strip that will be armed and never a guess at it."
media,stripsBefore,s,r,,,,state,50,no,park,none,,"sampler member: what the cue list put on each strip before this member's group, as strip and cue pairs - for every strip an earlier sampler group in the same list used, the member that group placed there, the nearest one winning. List order is the order a show runs in, so this is what a choice replaces (author, 2026-09-25: 'it should state what is the previous assignment in chronological order of the cuelist unless it's free'). A strip missing from it is free."
media,release,s,rw,playOut,hold|playOut,,state,50,no,park,show,,"sampler member: what letting go does. hold stops the clip on release - a pad lifted, a touched fader let go at silence - after the short releaseFade, so it does not click; playOut lets it run to its end, and silence on the fader is a mute rather than a stop."
media,secondPress,s,rw,restart,restart|noop|stop,,state,50,no,park,show,,"sampler member, play-out only: what a press does while the clip is already playing. restart takes it from the top; noop leaves it alone; stop ends it with the release fade. A hold clip cannot be pressed again by the hand holding it, and a press from anywhere else is ignored while it is held (PRD 3.8, 3.27)."
media,velocity,T,rw,false,,,state,50,no,park,show,,"sampler member: whether the velocity of a press sets the level the clip starts at (author, 2026-09-23). Off, a press starts at the member's initialLevel, which is where its fader already is. On, a press at 127 starts at 0 dB and a press at one at velocityFloor, in a straight line between them in dB."
media,velocityFloor,d,rw,-40,-120..0,dB,state,50,no,park,show,,"sampler member: the trim a press of velocity one starts at when velocity is on, and where a pressure of one takes it when pressure is on. -40 dB is a light tap on most pads; -120 is silence."
media,pressure,T,rw,false,,,state,50,no,park,show,,"sampler member: whether pressure on the pad - polyphonic aftertouch or channel pressure - rides the clip's trim while it is held, on velocity's scale: 127 is 0 dB, one is velocityFloor, and nought is ignored so a pad that rests at nought after the hit does not pull the sound down. A pad is a fader without a motor (author, 2026-09-23), and this is that fader."
media,releaseFade,d,rw,0.05,0..,s,state,50,no,park,show,,"sampler member: how long the fade to silence takes when a hold clip is released, or a play-out clip is stopped by a second press. Fifty milliseconds reads as a stop and does not click."
media,initialLevel,d,rw,0,-120..12,dB,state,50,no,park,show,,"sampler member: the level its strip's fader flies to when it is armed on one, and the trim the clip starts at (author, 2026-09-23). The fader waits there, and a touch on it starts the clip at wherever the fader is by then. A trim on the cue's own level, as every fader is (PRD 3.9a), so nought - the default - plays the clip at the level it was written at. On a pad it is the level a press without velocity starts at."
media,eqOn,T,rw,true,,,state,50,no,park,show,,"Whether the EQ of this cue is in the signal at all. Off, every band is skipped and the audio passes untouched - the A/B a designer reaches for. On with every band flat is the same sound and the same bytes, by construction."
media,eqHpf,T,rw,false,,,state,50,no,park,show,,"Whether the high-pass is in. A flag rather than a frequency parked at the band edge, because the click of a rotary switches a filter in and out, and a click that moved a frequency would move it somewhere."
media,eqHpfFreq,d,rw,80,20..2000,Hz,state,50,no,park,show,,"Where the high-pass turns over: second-order Butterworth, -3 dB here and 12 dB an octave below. 80 Hz takes the rumble out of a voice."
media,eqLpf,T,rw,false,,,state,50,no,park,show,,"Whether the low-pass is in. As eqHpf."
media,eqLpfFreq,d,rw,12000,1000..20000,Hz,state,50,no,park,show,,"Where the low-pass turns over, second-order. 12 kHz takes the hiss off a recording without dulling it."
media,eqB1On,T,rw,true,,,state,50,no,park,show,,"Whether band one is in the signal. Off takes the band out and keeps its shape, frequency, gain and width, so switching it back on brings back the same band - the press of its gain rotary on a surface page (author, 2026-09-25). A switch rather than the gain parked at nought, for the reason eqHpf gives: a press that moved a number would move it somewhere, and the number is what somebody decided."
media,eqB1Shape,s,rw,peak,peak|lowShelf,,state,50,no,park,show,,"What band one is: a peak, or a shelf that lifts or drops everything below its frequency. The low band is the one that wants to be a shelf."
media,eqB1Freq,d,rw,100,20..20000,Hz,state,50,no,park,show,,"The centre of band one, or the corner of its shelf."
media,eqB1Gain,d,rw,0,-24..24,dB,state,50,no,park,show,,"The gain of band one. Nought is the band out of the signal, which is what every band starts at and rests at (PRD 4.6): a peak at nought is no peak."
media,eqB1Q,d,rw,0.7,0.1..10,,state,50,no,park,show,,"The width of band one: higher is narrower. 0.7 is a gentle bell, 5 is a notch. On a shelf it sets how steep the corner is."
media,eqB2On,T,rw,true,,,state,50,no,park,show,,"Whether band two is in the signal. Off takes the band out and keeps its shape, frequency, gain and width, so switching it back on brings back the same band - the press of its gain rotary on a surface page (author, 2026-09-25)."
media,eqB2Freq,d,rw,500,20..20000,Hz,state,50,no,park,show,,"The centre of band two. Always a peak."
media,eqB2Gain,d,rw,0,-24..24,dB,state,50,no,park,show,,"The gain of band two; nought is out."
media,eqB2Q,d,rw,0.7,0.1..10,,state,50,no,park,show,,"The width of band two."
media,eqB3On,T,rw,true,,,state,50,no,park,show,,"Whether band three is in the signal. Off takes the band out and keeps its shape, frequency, gain and width, so switching it back on brings back the same band - the press of its gain rotary on a surface page (author, 2026-09-25)."
media,eqB3Freq,d,rw,2000,20..20000,Hz,state,50,no,park,show,,"The centre of band three. Always a peak."
media,eqB3Gain,d,rw,0,-24..24,dB,state,50,no,park,show,,"The gain of band three; nought is out."
media,eqB3Q,d,rw,0.7,0.1..10,,state,50,no,park,show,,"The width of band three."
media,eqB4On,T,rw,true,,,state,50,no,park,show,,"Whether band four is in the signal. Off takes the band out and keeps its shape, frequency, gain and width, so switching it back on brings back the same band - the press of its gain rotary on a surface page (author, 2026-09-25)."
media,eqB4Shape,s,rw,peak,peak|highShelf,,state,50,no,park,show,,"What band four is: a peak, or a shelf over everything above its frequency. The high band is the one that wants to be a shelf."
media,eqB4Freq,d,rw,8000,20..20000,Hz,state,50,no,park,show,,"The centre of band four, or the corner of its shelf."
media,eqB4Gain,d,rw,0,-24..24,dB,state,50,no,park,show,,"The gain of band four; nought is out."
media,eqB4Q,d,rw,0.7,0.1..10,,state,50,no,park,show,,"The width of band four, or the steepness of its shelf."
media,fx,s,r,,,,state,50,no,park,none,,"The ids of this cue-s enabled Fx children in chain order, space-separated - which inserts the cue has, in the order they process, for a page that walks them (pages draft 8, item 3)."
media,duration,d,r,0,0..,s,state,1,no,park,none,,"How long the file is, in seconds, read from its header once when the show is opened. On owner `media` and not `cue`, or every memo, group and fade would grow one - and `fade` and `stop` already carry a duration of their own, which is a different thing entirely. A READOUT about a file rather than a decision anybody took, so it is never stored (PRD 4.10) and never logged. Nought means the file is missing, unreadable, or in a format this build has no reader for; the state solver reads that as -I do not know how long this is- and says so rather than guessing."
media,hash,s,r,,,,state,1,no,park,none,,"The SHA-256 of this media cue's file as the analyser read it, in sixty-four lower-case hex characters: the key its pyramid is served under, at /media/<hash>/timbre on the same port, so a client that wants the colours of a bar asks for them by this and never by a path. The file this cue names NOW: a run armed before its cue's file was edited, or one still sounding after its cue was deleted, keeps playing the file it was armed with, which this does not follow. Empty until the analyser has hashed the file AND built its pyramid, so a hash a client can read is one the route will answer. Published from the runtime half although it is about a file, because it arrives late and changes while the show does not - the cached half would freeze it at whatever it was when a cue was last edited. On owner `media` for `duration`'s reason: a memo has no file to hash. A READOUT about a file and never a decision, so it is never stored (PRD 4.10) and never logged."
media,outsBusy,s,r,,,,state,50,no,park,none,,"Which direct outs are PROVABLY carrying another cue while this one plays, as bus and cue pairs - at most one pair per output, naming the nearest cue that is in the way. What the direct-out menu marks as taken. Proven means one of two things and nothing else: the other cue never ends on its own, or both cues sit inside one timeline or automatic chain where the seconds are exact. Everything a GO separates is in outsMaybe instead, because between one GO and the next there is a person and a person is not a duration."
media,outsMaybe,s,r,,,,state,50,no,park,none,,"Which direct outs MIGHT be carrying another cue while this one plays, in the same pairs. The menu marks these with no word at all rather than with a guess (author, 2026-09-22: -when uncertain, cue playing out until its end, then just don-t mark it, the user will decide-). A finite cue at the top of a manual list may well have finished long before the next GO, and it may equally still be sounding; nothing in the document says which, and saying so is more use than picking one."
route,bus,s,rw,,,,state,50,no,park,show,bus,"The identifier of the bus this destination feeds. A destination names a bus and never a hardware channel: the bus is where the author said a channel exists, and a show moved to a different rig re-points buses rather than every cue."
route,gains,d*,rw,,,,state,50,no,park,show,,"The coefficients from the cue's channels to the bus's, row by row: input 0 to every bus channel, then input 1, and so on. Its length is the cue's channel count times the bus width, and a length that does not match is refused when the show loads rather than discovered mid-cue. A coefficient is a plain multiplier and carries no dB - level is the cue's, and this is where it goes."
range,cue,s,r,,,,state,50,no,park,none,,"The cue this range belongs to, derived from where it sits. A range is a child of the media cue whose file it cuts up (PRD 3.24), so this is the containment read back rather than a second copy of it that could disagree."
range,index,i,r,0,0..,,state,50,no,park,none,,"Where it sits in the cue's list of ranges, counting from nought. Derived, and the one thing about a range that IS positional: the ranges of a cue are a playlist and a playlist is an order. It is read-only for the reason a cue's index is - moving a range is object.move, an edit somebody made, not a number somebody wrote."
range,name,s,rw,,,,state,50,no,park,show,,"What the strip shows (PRD 3.24). A range is a region of a file that somebody named - the verse, the approach, the last eight bars - and the name is the only part of it a designer says out loud."
range,in,d,rw,0,0..,s,state,50,no,park,show,,"Where in the file the range begins, in seconds. Ranges may be discontiguous and in any file order (author, 2026-09-06): a media cue with ranges is a playlist over one file, so the second range may start before the first ends, or before it begins."
